epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,473.477,1.83642,1.88917,1.90926,0.59596,0.38457,0.40815,0.15688,2.14724,1.8086,2.17395,0.000221679,0.000221679,0.000221679
2,936.357,1.75445,1.56944,1.84755,0.80766,0.39692,0.45039,0.175,2.19761,1.63797,2.26976,0.000443904,0.000443904,0.000443904
3,1401.23,1.74069,1.56505,1.85241,0.82439,0.36585,0.43409,0.16617,2.19765,1.60419,2.26472,0.000665695,0.000665695,0.000665695
4,1861.7,1.72434,1.54991,1.84016,0.65692,0.42303,0.47686,0.1941,2.09642,1.47588,2.13407,0.000665535,0.000665535,0.000665535
5,2325.31,1.70732,1.51176,1.83185,0.82326,0.41829,0.47129,0.18718,2.06305,1.47259,2.13415,0.000664397,0.000664397,0.000664397
6,2788.53,1.66324,1.41458,1.78267,0.71878,0.46438,0.50012,0.21934,1.94672,1.38851,2.02461,0.000662935,0.000662935,0.000662935
7,3256.48,1.64988,1.39766,1.77807,0.82799,0.42441,0.49953,0.21863,1.95112,1.36675,2.03487,0.000661152,0.000661152,0.000661152
8,3721.36,1.64186,1.3442,1.77167,0.51918,0.49478,0.47849,0.17774,2.20273,1.38682,2.21132,0.000659049,0.000659049,0.000659049
9,4191.55,1.62591,1.33392,1.75812,0.76719,0.44219,0.515,0.22587,1.97924,1.30955,2.02811,0.000656627,0.000656627,0.000656627
10,4664.52,1.59744,1.31124,1.74263,0.79172,0.44675,0.52992,0.22894,1.96477,1.26294,2.04386,0.00065389,0.00065389,0.00065389
11,5133.67,1.59011,1.26536,1.73789,0.87074,0.45143,0.52012,0.22915,1.95145,1.2404,2.04782,0.000650841,0.000650841,0.000650841
12,5604.35,1.56438,1.24396,1.71305,0.71081,0.47121,0.54738,0.2365,1.93792,1.22845,2.02208,0.000647481,0.000647481,0.000647481
13,6077.3,1.57132,1.2382,1.72211,0.60275,0.53209,0.51625,0.22433,1.99025,1.22342,2.05266,0.000643815,0.000643815,0.000643815
14,6549.52,1.56204,1.21694,1.70803,0.54477,0.5938,0.57179,0.2696,1.83837,1.11334,1.92875,0.000639845,0.000639845,0.000639845
15,7024.66,1.54342,1.17562,1.6856,0.61039,0.56115,0.55106,0.2561,1.85315,1.20556,1.93137,0.000635577,0.000635577,0.000635577
