epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1945.99,1.84489,1.76884,1.95404,0.59515,0.40852,0.51032,0.2525,1.87435,1.49718,1.92666,0.000221679,0.000221679,0.000221679
2,3888.09,1.76818,1.41302,1.873,0.54387,0.40869,0.49014,0.24467,1.89474,1.43224,1.98732,0.000400055,0.000400055,0.000400055
3,5801.38,1.74395,1.34336,1.86524,0.45476,0.43868,0.47681,0.24486,1.84813,1.42449,1.91392,0.00053441,0.00053441,0.00053441
4,7711.28,1.70341,1.26279,1.82127,0.53074,0.40288,0.47313,0.24908,1.88943,1.2871,1.90602,0.000468901,0.000468901,0.000468901
5,9613.64,1.65706,1.17716,1.78601,0.56254,0.47704,0.53273,0.27628,1.77439,1.1901,1.86476,0.000402868,0.000402868,0.000402868
6,11506.7,1.60608,1.06052,1.7366,0.53304,0.48735,0.52891,0.28063,1.77054,1.14116,1.85767,0.000336835,0.000336835,0.000336835
7,13415.2,1.55507,0.99831,1.71093,0.54592,0.4992,0.53681,0.29524,1.72455,1.14356,1.80898,0.000270802,0.000270802,0.000270802
8,15320.2,1.49481,0.91531,1.67224,0.56541,0.5097,0.55569,0.29346,1.73357,1.05265,1.81686,0.000204769,0.000204769,0.000204769
9,17235,1.44977,0.84239,1.60906,0.64715,0.52256,0.59931,0.31285,1.73352,1.0306,1.81939,0.000138736,0.000138736,0.000138736
10,19120,1.37651,0.78166,1.56687,0.60173,0.5425,0.59036,0.31568,1.71078,1.00109,1.82428,7.2703e-05,7.2703e-05,7.2703e-05
